HPfrb1ch09-0001	duel           	DUEL À MINUIT
HPfrb1ch09-0002	détestable     	Harry avait toujours cru qu’il était impossible de rencontrer quelqu’un d’aussi détestable que Dudley, mais c’était avant de faire la connaissance de Drago Malefoy.
HPfrb1ch09-0003	hélas          	Hélas, une note au tableau d’affichage les informa que les cours de vol sur balai seraient également communs entre les deux maisons.
HPfrb1ch09-0004	affichage      	Hélas, une note au tableau d’affichage les informa que les cours de vol sur balai seraient également communs entre les deux maisons.
HPfrb1ch09-0005	ridiculiser    	Je n’attendais que ça : me ridiculiser devant Malefoy en essayant de manier un manche à balai.
HPfrb1ch09-0006	leçon          	Les leçons de vol étaient celles qu’il attendait avec le plus d’impatience.
HPfrb1ch09-0007	vanter         	Je sais que Malefoy se vante toujours d’être un grand joueur de Quidditch, mais ça ne coûte rien de le dire.
HPfrb1ch09-0008	terrain        	Il faudra voir sur le terrain.
HPfrb1ch09-0009	héros          	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0010	invariablement 	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0011	poursuite      	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0012	haletant       	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0013	issue          	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0014	justesse       	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0015	hélicoptère    	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0016	piloter        	Il racontait sans cesse des histoires dont il était le héros et qui se terminaient invariablement par une poursuite haletante à l’issue de laquelle il échappait de justesse à un hélicoptère piloté par des Moldus.
HPfrb1ch09-0017	vanter         	Il n’était d’ailleurs pas le seul à se vanter.
HPfrb1ch09-0018	enfance        	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
HPfrb1ch09-0019	acrobatie      	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
HPfrb1ch09-0020	aérien         	À l’en croire, Seamus Finnigan avait également passé le plus clair de son enfance à faire des acrobaties aériennes en pleine campagne.
HPfrb1ch09-0021	collision      	Même Ron racontait à qui voulait l’entendre qu’il avait failli entrer en collision avec un deltaplane alors qu’il pilotait le vieux balai de Charlie.
HPfrb1ch09-0022	dispute        	Ron avait déjà eu une longue dispute avec Dean Thomas, qui partageait leur dortoir, à propos du football.
HPfrb1ch09-0023	affiche        	Un soir Harry avait surpris Ron en train de tapoter une affiche de Dean représentant l’équipe de football de West Ham pour essayer, en vain, de faire bouger les joueurs.
HPfrb1ch09-0024	décision       	Harry songeait en son for intérieur que c’était une sage décision, étant donné le nombre incroyable d’accidents que Neville avait déjà eu dans sa vie en restant les deux pieds sur terre.
HPfrb1ch09-0025	jeudi          	Le premier cours de balai volant devait avoir lieu le jeudi.
HPfrb1ch09-0026	infliger       	Au petit déjeuner, elle leur infligea les stupides conseils en matière de vol qu’elle avait trouvés à la bibliothèque dans un livre intitulé Le Quidditch à travers les âges.
HPfrb1ch09-0027	conférence     	Neville buvait ses paroles, dans l’espoir d’apprendre quelque chose qui pourrait l’aider à tenir sur un balai mais tous les autres furent ravis que l’arrivée du courrier interrompe la conférence d’Hermione.
HPfrb1ch09-0028	colis          	Le hibou grand duc de celui-ci lui apportait sans cesse des colis de bonbons qu’il ouvrait avec jubilation à la table des Serpentard.
HPfrb1ch09-0029	jubilation     	Le hibou grand duc de celui-ci lui apportait sans cesse des colis de bonbons qu’il ouvrait avec jubilation à la table des Serpentard.
HPfrb1ch09-0030	fébrilement    	Il l’ouvrit fébrilement et montra à tout le monde une boule de verre de la taille d’une grosse bille qui semblait remplie d’une fumée blanche.
HPfrb1ch09-0031	bille          	Il l’ouvrit fébrilement et montra à tout le monde une boule de verre de la taille d’une grosse bille qui semblait remplie d’une fumée blanche.
HPfrb1ch09-0032	étourdir       	Ma grand-mère me l’a envoyé parce qu’elle trouve que je suis étourdi.
HPfrb1ch09-0033	mécontent      	Ils n’auraient pas été mécontents d’avoir un prétexte pour se battre avec Malefoy, mais le professeur McGonagall accourut aussitôt.
HPfrb1ch09-0034	prétexte       	Ils n’auraient pas été mécontents d’avoir un prétexte pour se battre avec Malefoy, mais le professeur McGonagall accourut aussitôt.
HPfrb1ch09-0035	retomber       	Malefoy fit une grimace et laissa retomber la boule de verre sur la table.
HPfrb1ch09-0036	brise          	Le ciel était clair et les vastes pelouses ondulaient sous une faible brise.
HPfrb1ch09-0037	inquiétant     	Le terrain se trouvait du côté opposé à la Forêt interdite dont on voyait les arbres inquiétants se balancer au loin.
HPfrb1ch09-0038	soigneusement  	Les Serpentard étaient déjà là, ainsi qu’une vingtaine de balais soigneusement alignés sur le sol.
HPfrb1ch09-0039	vibrer         	Harry avait entendu Fred et George se plaindre de la qualité des balais de l’école qui se mettaient à vibrer quand on volait trop haut ou qui tiraient un peu trop à gauche.
HPfrb1ch09-0040	faucon         	Elle avait des cheveux courts et gris et des yeux jaunes comme ceux d’un faucon.
HPfrb1ch09-0041	tendre         	– Tendez la main droite au-dessus du balai, ordonna Madame Bibine, et dites : « Debout ! »
HPfrb1ch09-0042	debout         	– DEBOUT ! crièrent les élèves à l’unisson.
HPfrb1ch09-0043	unisson        	– DEBOUT ! crièrent les élèves à l’unisson.
HPfrb1ch09-0044	tremblement    	Les balais étaient peut-être comme les chevaux, songea Harry, quand on avait peur, ils le sentaient et le tremblement dans la voix de Neville indiquait clairement qu’il aurait préféré garder les deux pieds sur terre.
HPfrb1ch09-0045	clairement     	Les balais étaient peut-être comme les chevaux, songea Harry, quand on avait peur, ils le sentaient et le tremblement dans la voix de Neville indiquait clairement qu’il aurait préféré garder les deux pieds sur terre.
HPfrb1ch09-0046	corriger       	Elle passa devant chacun pour corriger la position et Harry et Ron furent enchantés de l’entendre dire à Malefoy qu’il tenait très mal son balai.
HPfrb1ch09-0047	frapper        	Frappez fort.
HPfrb1ch09-0048	avant          	Vous tiendrez vos balais bien droits, vous vous élèverez d’un ou deux mètres et vous reviendrez immédiatement au sol en vous penchant légèrement en avant.
HPfrb1ch09-0049	décoller       	Mais Neville était si nerveux et il avait si peur de ne pas réussir à décoller qu’il se lança avant que Madame Bibine ait eu le temps de porter le sifflet à ses lèvres.
HPfrb1ch09-0050	redescendre    	– Redescends, mon garçon !
HPfrb1ch09-0051	bouchon        	Mais Neville s’éleva dans les airs comme un bouchon de champagne.
HPfrb1ch09-0052	champagne      	Mais Neville s’éleva dans les airs comme un bouchon de champagne.
HPfrb1ch09-0053	décomposer     	Harry vit son visage se décomposer tandis qu’il regardait le sol s’éloigner.
HPfrb1ch09-0054	dériver        	Son balai continua de s’élever de plus en plus haut, puis dériva lentement vers la Forêt interdite avant de disparaître à l’horizon.
HPfrb1ch09-0055	poignet        	– Poignet cassé, murmura-t-elle.
HPfrb1ch09-0056	garantir       	Et vous laissez les balais par terre, sinon, je vous garantis que vous ne resterez pas longtemps à Poudlard, avant même de prononcer le mot «
HPfrb1ch09-0057	clopiner       	Neville, le visage ruisselant de larmes, la main crispée sur son poignet, clopina à côté de Madame Bibine qui le tenait par l’épaule.
HPfrb1ch09-0058	mollasson      	– Vous avez vu sa tête, à ce mollasson ?
HPfrb1ch09-0059	taire          	– Tais-toi, Malefoy, lança sèchement Parvati Patil.
HPfrb1ch09-0060	pleurnichard   	Je ne savais pas que tu aimais les gros pleurnichards.
HPfrb1ch09-0061	cime           	Si tu y tiens tellement, viens le chercher, Potter, cria-t-il en volant autour de la cime d’un chêne.
HPfrb1ch09-0062	enfourcher     	Il enfourcha le balai, donna un grand coup de pied par terre et s’éleva à toute vitesse.
HPfrb1ch09-0063	intense        	Il ressentit une joie intense en découvrant soudain qu’il savait faire voler un balai sans avoir eu besoin d’apprendre.
HPfrb1ch09-0064	naturel        	C’était quelque chose qui lui paraissait très naturel, très facile, et qui lui donnait une sensation merveilleuse.
HPfrb1ch09-0065	merveilleux    	C’était quelque chose qui lui paraissait très naturel, très facile, et qui lui donnait une sensation merveilleuse.
HPfrb1ch09-0066	instinct       	D’instinct, Harry savait parfaitement ce qu’il fallait faire.
HPfrb1ch09-0067	javelot        	Il se pencha en avant, serra les mains sur le manche et son balai fonça sur Malefoy comme un javelot.
HPfrb1ch09-0068	épingle        	Malefoy parvint de justesse à éviter Harry qui prit un virage en épingle à cheveux et fondit à nouveau sur son adversaire.
HPfrb1ch09-0069	mise           	Crabbe et Goyle ne sont plus là pour te sauver la mise ? lança Harry.
HPfrb1ch09-0070	attraper       	– Attrape, si tu en es capable, cria-t-il.
HPfrb1ch09-0071	film           	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
HPfrb1ch09-0072	ralenti        	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
HPfrb1ch09-0073	amorcer        	Comme dans un film au ralenti, Harry vit la boule s’élever dans les airs puis amorcer sa chute.
HPfrb1ch09-0074	vertigineux    	Des cris se mêlaient au sifflement du vent dans ses oreilles, tandis qu’il fendait l’air à une vitesse vertigineuse.
HPfrb1ch09-0075	cinquantaine   	Soudain, il tendit la main et réussit à attraper la boule à une cinquantaine de centimètres du sol, juste à temps pour pouvoir redresser le manche de son balai et atterrir en douceur sur la pelouse, en tenant le Rapeltout au creux de son poing.
HPfrb1ch09-0076	creux          	Soudain, il tendit la main et réussit à attraper la boule à une cinquantaine de centimètres du sol, juste à temps pour pouvoir redresser le manche de son balai et atterrir en douceur sur la pelouse, en tenant le Rapeltout au creux de son poing.
